"Member";"Total de pontos por medalha";"Média de pontos por medalha";"Número de competidores";"Total de premiações";"Ouro";"Prata";"Bronze";"Diploma de excelência"
"Brazil";105;2,1;50;46;11;10;6;19
"Korea";97;2,3658536585;41;39;13;7;5;14
"Chinese Taipei";70;1,7948717949;39;36;5;7;5;19
"Switzerland";58;1,5263157895;38;36;1;7;5;23
"China";57;1,9655172414;29;26;5;6;4;11
"Japan";53;1,325;40;27;5;3;5;14
"United Kingdom";46;1,2777777778;36;29;3;3;2;21
"Austria";44;1,4193548387;31;24;5;2;1;16
"France";44;1,1;40;27;2;4;3;18
"Germany";33;0,8918918919;37;22;2;2;1;17
"South Tyrol,Italy";31;1,7222222222;18;13;5;1;1;6
"Australia";24;1;24;16;0;3;2;11
"Canada";22;0,8148148148;27;15;0;2;3;10
"Sweden";21;0,7777777778;27;16;0;2;1;13
"Singapore";21;1,05;20;17;0;1;2;14
"Indonesia";20;0,6666666667;30;17;0;1;1;15
"Norway";20;1,1111111111;18;14;2;0;0;12
"Finland";19;0,6129032258;31;18;0;0;1;17
"Ireland";16;1,1428571429;14;10;2;0;0;8
"Netherlands";16;0,5333333333;30;13;1;0;0;12
"Thailand";16;0,7619047619;21;12;1;0;1;10
"Denmark";15;0,8823529412;17;11;0;1;2;8
"Malaysia";14;0,7368421053;19;13;0;0;1;12
"Colombia";12;0,4444444444;27;12;0;0;0;12
"Principality of Liechtenstein";12;1,3333333333;9;8;1;0;1;6
"Hungary";10;0,7692307692;13;5;1;1;0;3
"Iran";10;0,7692307692;13;9;0;0;1;8
"Vietnam";9;0,6923076923;13;8;0;0;1;7
"India";8;0,2962962963;27;8;0;0;0;8
"Macao, China";8;0,5333333333;15;8;0;0;0;8
"Portugal";8;0,5;16;8;0;0;0;8
"Hong Kong, China";7;0,4375;16;7;0;0;0;7
"Belgium";6;0,2857142857;21;6;0;0;0;6
"Russia";6;0,2;30;6;0;0;0;6
"New Zealand";5;0,3333333333;15;5;0;0;0;5
"Latvia";4;0,5714285714;7;4;0;0;0;4
"United States of America";3;0,1875;16;2;0;0;1;1
"Belarus";2;0,1333333333;15;2;0;0;0;2
"Estonia";2;0,2857142857;7;2;0;0;0;2
"Spain";2;0,125;16;2;0;0;0;2
"United Arab Emirates";1;0,0454545455;22;1;0;0;0;1
"Luxembourg";1;0,3333333333;3;1;0;0;0;1
"Saudi Arabia";1;0,1666666667;6;1;0;0;0;1
"South Africa";1;0,0526315789;19;1;0;0;0;1
"Chile";0;0;6;0;0;0;0;0
"Costa Rica";0;0;2;0;0;0;0;0
"Georgia";0;0;6;0;0;0;0;0
"Israel";0;0;2;0;0;0;0;0
"Kazakhstan";0;0;6;0;0;0;0;0
"Morocco";0;0;7;0;0;0;0;0
"Mongolia";0;0;9;0;0;0;0;0
"Mexico";0;0;12;0;0;0;0;0
"Namibia";0;0;4;0;0;0;0;0
"Oman";0;0;9;0;0;0;0;0
"Turkey";0;0;4;0;0;0;0;0
